,Review,Rating,Date,Restaurant Name
0,"I would give this place 4 stars, only I ate some chilean sea bass and it made me puke. After speaking with the manager, I found out that chilean sea bass is the most popular thing on the menu, which makes sense because it is the most fantastic fish I have ever tasted.  But, I don't think I'll be eating it again for various reasons.  All in all, the food is really good here and I'd recommend it as a great semi-fancy plate to eat out.  But, don't go running around after eating the chilean sea bass (which actually isn't sea bass, it's eel.)",3,4/21/2005,Atlantic Fish
1,"GREAT SEAFOOD.  I like this way better than the overrated Legal SeaFoods which serves very blah inconsistent seafood.   Here the seafod is fresher,  tastier and more consistent.  Just better menu and great food!  Great Lobster ravioli.  Very nice pear salad!! Good deserts as well--- LOVE the chocolate cake w/ fresh raspberry sauce!! YUM!  Nice decor.",5,7/10/2005,Atlantic Fish
2,Really good seafood. Great location for a date night at the Loews Boston Common either preceded or followed by dinner out.  Big meals. Semi-expensive but nice for a fun night out.,4,7/20/2005,Atlantic Fish
3,"In terms of its menu offerings , Atlantic Fish Co is very similar to Legal Seafoods. The same can be said for the quality of the seafood and the actual dishes (like my favorite, fried clams). However I believe Atlantic is a touch of class above Legal simply because of the atmosphere and the clientel it seems to attract. This is not the highest-end of the restaurants out there in Boston, but it is still somewhat expensive. It's a great place to treat yourself to if you have a seafood craving and you want a guaranteed good seafood meal.",4,7/20/2005,Atlantic Fish
4,Great open feel to this place.   Clam chowder is amazing.   Our server was about 12 years old and a bit clueless but the amazing food made up for this.    Salads age yummy and seafood is consistent.   Great location too.,4,7/30/2005,Atlantic Fish
5,"This is the best place to eat seafood in downtown Boston (though it still can not come place to some South Shore and Cape spots).  The chowder is great, the scallops and shrimp are amazing, and every type of fish I've tried here was fantastic.  The service is exceptional as well and in the summer the restaurant is open so it has a very nice atmosphere.",5,8/26/2005,Atlantic Fish
6,"As someone that doesn't eat a lot of fish, I cannot wait to go back to Atlantic Fish Co. I just went last week for a friend's graduation. The food was amazing, and the service was great. Our waitress was very helpful and accommodating. A great thing about this place is that they have a good amount of non-fish options if you do not like fish at all. Be sure to check out a dessert if you have room. It is wonderful!",5,9/6/2005,Atlantic Fish
7,"freshman year, i went here with a friend and had the cheapest item on the menu:  $13 for an huge salad topped with enormous grilled scallops, jumbo shrimp, hunks of calamari, etc.  i'm still haunted by the memory of the salad the seafood was sooooooo good.  i went back again junior year, but the salad was no longer on the menu, and i ended up having something far more expensive but far less memorable (i don't remember what ;-) ).  their clam chowder, in my opinion, ranks among the best in the city.",4,9/19/2005,Atlantic Fish
8,"I don't mind going to the Atlantic Fish Company, it wouldn't be one of my first choices but if others suggest it I don't have a problem with it. The food is decent and reasonably priced.",4,1/31/2006,Atlantic Fish
9,"Holy moly those were some scrumptious pan-seared giant scallops! Nor is the seabass to be spat at (though it is a bit pricey). So overall, good marks for food, but not a lot to distinguish it from Legal Seafood.Atmosphere and service are somewhat more haphazard. The main dining room is quite large and very crowded and noisy. Also, although we had a reservation we were made to wait to be seated at a table. A few minutes later, a new waitress shows up and asks us to move to another table. Not how I expect to be treated at what styles itself as one of Boston's classier restaurants. And although the service is friendly, it hardly qualifies as snappy.Oh, and swordfish is endangered - just so you know.",4,3/15/2006,Atlantic Fish
