,Review,Rating,Date,Restaurant Name
0,Great new spot and great location! Food is delicious! Everyone is super friendly. Can't wait to try more of the menu and the brunch on the weekends!,5,8/28/2019,Stillwater
1,"Stillwater is now at the top of the list for our regular rotation of great places in the city!!!We went with a crew of 10 on their 2nd day, and there were none of the 'new restaurant, still working out the kinks' incidents that we've all seen / heard about.Food was phenomenal, but what else would you expect from Chef Sarah Wade?! Our table (of primarily Southern transplants) enjoyed several rounds of Kick-Ass Cocktails, a few appetizers, and a variety of entrees - everyone couldn't get enough of everything we ordered! The biscuits and butter...no words. Empanaditas were as delicious as you'd expect, and the Everything Bagel Popcorn was spot-on! We had several orders of the Smoked Pork Mac & Cheese, the Ritz Chicken, Butter Toasted Gnudi, and Chicken Fried Ribeye for our entrees. All were delicious, and we ended up going 'family style' because it was all too good not to share! Whether the chicken or the steak, it basically melts in your mouth as you are nearly comatose from the deliciousness...Rounding out the night with the Jelly Donut Creme Brulee was the best move we made all night! They seem to have a great team with Sarah running the kitchen, John running the dining room, and Patty running the bar. We were very fortunate to get to interact with all 3 of these key players, and they couldn't have made it a better all-around experience for my wife's birthday!",5,8/30/2019,Stillwater
2,"Great new place! Been there twice for dinner since they've opened - lamb chops were excellent, so were the biscuits. We were seated immediately both times, and had great service throughout the experience.Fantastic restaurant - can't wait to try their brunch menu!",5,9/1/2019,Stillwater
3,"This is where Townsman used to be. Same decor and layout, but even better food in my opinion. Thoughtful and tasty vegan options, excellent drink selection, and better prices. I hope they are here to stay!",5,9/1/2019,Stillwater
4,"Let's start with the positive - food was excellent.  Not in a nuanced, pinky finger off the glass kind of way, but in the kind of way where we finished everything on the table and fought for bites.  The ricotta dumplings with chanterelles was the highlight of the meal, just a really well composed dish.  And it's a dish I'm still thinking about a few days later ... which is usually a sign that they nailed it.  The wings needed a bit more sauce in my opinion, but we ate them all, and they were smoky and wonderful.  The chicken chili was deeply satisfying.  On top of all of this, the pricing is insanely reasonable (which Townsman was on the opposite end of the spectrum from - perhaps why it failed).  The ricotta dumplings with chanterelles was $18 ... cheaper than most burgers in the city.  I also don't know about the location and the food together; just seems like a high rent space for comfort food - but who am I to judge, I hope they are successful.I am giving Stillwater a full pass on service considering they just opened.  But our server forgot our order, came back to confirm it - then forgot to put in two additional items.  Listen, I cannot hold it against Stillwater for not being a smooth running machine 3 days after opening.  I'll come back in a few months to see if things have picked up here.",5,9/2/2019,Stillwater
5,"Great food, love the menu and the service is outstanding. We've already come back twice",5,9/7/2019,Stillwater
6,"Best new spot in the city. They have something for everyone, including GF and vegetarian and vegan options. I've come for dinner, drinks, lunch, and it was all delicious. Service is attentive and quick. I haven't tried the brown bag option yet but heard good things. I'll be back soon!",5,9/11/2019,Stillwater
7,"Stillwater has instantly become our new go to neighborhood spot! I've been for lunch, dinner, and drinks multiple times and keep coming back. Great food, awesome selection of local beers and cocktails, and excellent service. Can't wait to take advantage of the patio before the weather turns (and brunch when it starts!).",5,9/11/2019,Stillwater
8,Relaxed and charming atmosphere! Everything was delicious. Make sure you get the fried Ritz chicken!,5,9/12/2019,Stillwater
9,Great food and service. I came in for early lunch on a weekend and very much enjoyed their bologna sandwich on Texas toast with creamy egg in the middle. I loved they used thick cut Asian style toast from local bakery as it gives it more substance and taste. And my server Angela was great with both recommendations and friendliness.,4,9/14/2019,Stillwater
