,Review,Rating,Date,Restaurant Name
0,"Had lunch there yesterday, and it was phenomenal. I sampled the avocado toast, the Mike's Hot Honey grilled cheese sandwich with bacon and the tomato mozzarella salad w/ Chicken.  Every item was a homerun. The Mike's Hot Honey grilled cheese might be the single best grilled cheese I've ever had.  I cant wait to go back and try some of the other sandwiches I saw.",5,8/31/2018,Vester
1,Got breakfast today for the first time after walking by the last few days. The outside is a little deceiving it doesn't scream cafe but I gave it a try. Got the iced mocha it was delicious. Then got the breakfast sandwich. Very good as well. I hope they keep up the good quality over time as they just opened so i had high expectations. Note to the owner: maybe you should put a chalkboard sign out front or something or have menus outside if I didn't google it I still would have no idea I could get good breakfast!,5,9/5/2018,Vester
2,"I came to Vester with high expectations - this was the coffee shop replacing the fabled Ames St. Deli after all. My immediate disappointment was the terrible coffee. My friend received a cold brew that tasted like water with bitter coffee grounds mixed in. I had the regular drip coffee, which was also quite watery but not particularly offensive. Unfortunately, the sandwiches we got were astounding in disappointment. Sampling the turkey sandwich and the chicken sandwich, the breads were dry and almost stale, the fillings were sparse and minimalist (you don't need to match the interior decor that closely), and were relatively expensive ($10+). Ultimately, the food and drink options we tried didn't seem mindful or inspired at all. I want Vester to succeed - we desperately need more good coffee and food places to come to Kendall. However, at this point in time, Vester is not firing on all cylinders and has no convincing identity (having been to Denmark, I see no resemblance of this place to any of their cafes apart from the decor). From a competition perspective, Vester will have a hard time seeing off Starbucks and Sebastians, which are almost adjacent. I hope they get their bearings soon and evolve quickly.",2,9/6/2018,Vester
3,Fresh tasty and on the marker Had breakfast Sandwiches on  a weekday Portions are not large but just tight Avocado toast is great Egg brioche sandwich is great Service is super friendly Liked everything about it,4,9/15/2018,Vester
4,"Gorgeous space, great drinks, and really tasty food.Finally, my dream for a nice coffee place that's also a pleasant place to study has been fulfilled. The owner is really nice and welcoming which gives it a really local and homey vibe. The drinks are tasty and they have oat milk, which is not that common in Boston. It even has really beautiful and healthy food, I ate an amazing avocado toast that was perfectly plated. Bonus: chairs that are comfortable.....with backs. The tables are large enough for laptops and a drink without fear of spilling and you can pick up broad internet so it's really the dream. It's also filled with natural light and a really pleasant and uplifting space.",5,9/15/2018,Vester
5,Great addition to Kendall. Coffee is smooth and the revival (1/2 cold brew 1/2 coconut water) is the bomb.,5,9/20/2018,Vester
6,"I've been waiting for this place to open for weeks, and it lived up to expectations! Came by on a Saturday to find it spacious and welcoming - the owner stopped by our table to chat and share a bit more about the background of the place. We were here for coffee and studying, and the drinks were super interesting, with a few specialty drinks that you wouldn't get anywhere else (the Hong Kong milk tea is amazing). Will definitely be back to try some of the food soon.",5,9/22/2018,Vester
7,"I've only had a few of the drinks at the location, including their specialty, the ""camo"" drink (espresso, matcha, and white chocolate). The drinks are quite decent, considering the prices are comparable to the place down the street. The first time I went there, the baristas were super sweet about informing me of how much sugar is in each drink, and happily answered my questions about some drinks I couldn't google.That being said, I would really give this place more of a 4 for technique, as I do agree that the drinks are not as technically refined as those of other cafes in Boston (the foam on a few of the lattes were not microfoam by any means---more of a froth with large bubbles). I do like their more interesting drink selection though, and for that, I give it a 5. I am also pretty biased and love matcha; they have a decent selection of those drinks to choose from.",5,9/24/2018,Vester
8,"tl;dr: cute cafe with a creative, reasonably-priced menu and great atmosphere/friendly staffI stopped by Vester last week, looking for a change from the Starbucks down the street and curious about this place that Yelp confirmed was new to the area. I was keeping my expectations low - I thought that it might be your typical hipster coffee shop that sells drinks that aren't worth the price, but I was really pleasantly surprised by the affordability and creativity in the menu. I will note that I haven't tried any food here, but the options do look surprisingly appealing and substantial for what seems to be a drink-focused place.As for the drinks, the menu is divided: there are coffee-based, espresso-based, and tea-based drinks - with some mixtures between the categories. For example, they have a Yinyang drink that's a mixture of coffee and milk tea, as well as their signature drink, the Camo, which is part espresso and part matcha with a little bit of white chocolate. I got the Camo when I went and it was fantastic! The matcha quality seems to be pretty high so it didn't get overwhelmed by the espresso, and the white chocolate addition made the drink just sweet enough without becoming a dessert, while picking up the flavor a bit from the bitter main components.I definitely plan on going back and doing my best to make my way through their menu, particularly their more creative options that I haven't seen elsewhere - which should take a little while since there are quite a few!",5,9/24/2018,Vester
9,"I have really mixed feelings about this place. I went for lunch, which may not be their strongest point. The positives: owner is incredible, super welcoming and knows her stuff. The food was good, and the coffee is also (good decaf is hard to find!). Prices are on par for the neighborhood. The negatives: food portions are small, at least for the salads. It's disappointing to get a to-go container that's usually for sides, with your lunch in it. Some of the staff seem great, but several others were wandering around and just looked at me blankly. Lastly, the design/layout is sort of weird, so I had awkward confusion when I got in- and the wandering employees were of no help.I'll give it another chance, probably for breakfast",4,9/27/2018,Vester
